Instrument,Origin/Tradition,Typical Price Range (USD),Notable Makers/Brands
Sitar,India,"Student: $250–$800; Pro: $1,500–$4,500+",Rikhi Ram; Hiren Roy; Surobani; Vadya; Miraj luthiers
Veena,India,"Student: $300–$900; Pro: $1,500–$3,500+",Nadhaswaram/Veena artisans (Thanjavur); Palghat makers
Tanpura,India,"Student: $150–$500; Pro: $800–$2,000+",Radha Krishna Sharma; Hiren Roy workshop; Kolkata/Miraj artisans
Sarod,India,"Student: $500–$1,200; Pro: $2,000–$5,000+",Hemen & Co.; Rajeev Taranath’s recommended artisans; Kolkata/Miraj makers
Esraj,India,"Student: $200–$600; Pro: $1,000–$2,500+",Kolkata artisans; Hiren Roy workshop
Rabab,Afghanistan,"Student: $250–$700; Pro: $1,200–$3,000+",Kabul/Peshawar artisans
Erhu,China,"Student: $100–$400; Pro: $800–$3,000+",Dunhuang; Shanghai No.1 Factory; Tianjin Luthiers
Pipa,China,"Student: $200–$700; Pro: $1,500–$5,000+",Dunhuang; Shanghai No.1 Factory
Guqin,China,"Student: $400–$1,200; Pro: $2,500–$8,000+",Beijing/Shanghai workshops; Master luthiers
Koto,Japan,"Student: $600–$1,500; Pro: $3,000–$10,000+",Miyamoto Unosuke; Sawai school makers
Shamisen,Japan,"Student: $300–$900; Pro: $2,000–$6,000+",Tokyo Wagakki; specialized luthiers
Biwa,Japan,"Student: $700–$1,800; Pro: $3,000–$8,000+",Traditional luthiers
Gayageum,Korea,"Student: $400–$1,000; Pro: $2,000–$6,000+",Korean traditional instrument makers
Geomungo,Korea,"Student: $500–$1,200; Pro: $2,500–$7,000+",Korean traditional instrument makers
Oud,Arab world,"Student: $200–$800; Pro: $1,500–$5,000+",Sukar (Syria); Shehata (Egypt); Godin (electric)
Tar (Persian),Iran,"Student: $300–$900; Pro: $1,500–$4,000+",Tehran luthiers; Shahram Mirjalali workshop
Setar (Persian),Iran,"Student: $200–$500; Pro: $1,000–$3,000+",Tehran/Isfahan artisans
Bouzouki,Greece,"Student: $300–$900; Pro: $1,500–$4,000+",Zozef; Greek luthiers; Trinity College (brand)
Balalaika,Russia,"Student: $150–$400; Pro: $800–$2,000+",St. Petersburg/Moscow workshops
Domra,Russia,"Student: $150–$400; Pro: $800–$2,000+",Russian luthiers
Mandolin,Italy,"Student: $100–$400; Pro: $800–$3,000+",Gibson; Eastman; Kentucky
Violin,Italy,"Student: $150–$600; Pro: $1,500–$15,000+",Yamaha; Stentor; Höfner; Stradivari (historical)
Guitar (Classical/Acoustic),Spain,"Student: $80–$400; Pro: $800–$5,000+",Yamaha; Fender; Martin; Taylor; Ibanez
Lute,Europe (Medieval),"Student: $500–$1,500; Pro: $2,500–$8,000+",Specialist luthiers (Europe)
Hurdy-gurdy,France,"Student: $1,000–$2,500; Pro: $3,500–$10,000+",Noy; Pajot; modern French luthiers
Banjo,USA,"Student: $150–$500; Pro: $1,200–$4,000+",Deering; Recording King; Gold Tone
Ukulele,Hawaii (USA),"Student: $40–$200; Pro: $400–$1,500+",Kala; Kamaka; Kanile’a
Double Bass,Europe,"Student: $800–$2,000; Pro: $4,000–$20,000+",Yamaha; Eastman; Shen
Cello,Italy,"Student: $400–$1,200; Pro: $2,500–$15,000+",Yamaha; Eastman; Jay Haide
Viola,Italy,"Student: $250–$800; Pro: $2,000–$10,000+",Yamaha; Stentor; Eastman
Bansuri,India,Student: $20–$80; Pro: $150–$500+,Subhash (Pune); Punam Flutes; Harsh Wardhan
Shehnai,India,"Student: $80–$200; Pro: $400–$1,200+",Varanasi artisans; Saini makers
Nadaswaram,India (South),"Student: $150–$400; Pro: $800–$2,500+",Thanjavur artisans
Shakuhachi,Japan,"Student: $200–$700; Pro: $1,500–$5,000+",Yuu (ABS); Japanese master makers
Dizi,China,Student: $20–$60; Pro: $150–$500+,Dunhuang; Beijing makers
Suona,China,Student: $40–$120; Pro: $300–$800+,Chinese workshops
Kaval,Turkey/Balkans,"Student: $100–$300; Pro: $500–$1,500+",Bulgarian/Turkish makers
Zurna,Turkey,Student: $60–$180; Pro: $300–$900+,Turkish makers
Ney,Middle East,"Student: $40–$120; Pro: $300–$1,000+",Turkish/Egyptian makers
